x,y
7469,950
8814,5367
9188,1409
6920,6349
2969,4114
607,7687
7213,1298
2427,5726
4431,1650
2237,3037
3234,8393
1704,9800
6836,9602
6403,8565
9805,5047
2516,5264
9732,7948
2643,6769
5914,5142
6227,6332
1308,5885
7190,5475
7093,3492
2281,1868
8101,9058
1026,3531
2593,9407
3710,55
6765,391
8214,274
4240,3280
9327,3057
3322,7667
2866,9664
5814,8488
5824,2286
4132,7719
3447,2132
3794,3083
8644,999
2364,9489
9795,8417
5035,571
759,2644
6028,615
6812,4786
9457,8637
2708,828
6872,412
6327,3843
4181,7375
1366,2411
8297,4573
2005,6289
9443,7275
8646,9753
9422,7635
1862,5682
6332,4343
1604,7586
4568,2809
5385,9125
4122,4620
1875,140
8434,4131
4467,8770
6653,4739
329,909
3042,2079
9615,2073
2907,8594
2533,635
3301,9290
9034,9697
6944,3342
2905,9888
6765,5579
6158,8379
6540,3291
8365,9435
9501,1813
1608,2699
2910,866
3801,7486
9645,9788
7479,2097
4999,682
4772,7284
9657,2189
221,9753
9666,153
7703,7322
6540,1560
4941,4875
7065,9949
9134,6931
6327,4811
2612,9860
3630,946
5387,3887
